frame = 0
4.9447e-02 + i -5.6028e-02
-6.9031e-02 + i 2.4286e-02
9.9732e-03 + i 8.3802e-03
5.7608e-02 + i 2.4494e-02
3.0594e-02 + i -1.8352e-02
-3.3565e-02 + i 3.9563e-02
4.9933e-02 + i -3.4988e-02
-1.6085e-02 + i -6.2638e-02
1.3821e-01 + i 1.0188e-02
-7.3407e-02 + i 1.2829e-01
-3.8654e-03 + i -2.4613e-02
2.9950e-02 + i -9.5944e-02
1.6813e-01 + i 3.9115e-02
-1.0898e-02 + i 1.6576e-01
-1.1506e-01 + i 3.8331e-02
5.8743e-03 + i -4.9487e-02
3.7065e-02 + i 1.5513e-02
1.3091e-02 + i 8.7142e-02
-7.1582e-02 + i 7.5719e-03
-4.1181e-03 + i -1.7728e-02
1.2156e-02 + i 4.7958e-02
-6.5520e-02 + i 1.6037e-02
-4.8649e-02 + i -6.4413e-03
-2.2677e-02 + i -1.1029e-01
1.2109e-01 + i 4.3323e-02
-8.0301e-03 + i 8.8107e-02
-7.4486e-02 + i -1.3540e-04
-4.4577e-02 + i -2.9682e-02
3.3363e-02 + i -1.9144e-02
-1.9988e-02 + i 3.4363e-02
-4.1778e-02 + i -3.9897e-02
3.4003e-02 + i -2.3093e-02
2.8839e-03 + i -3.9024e-03
8.4132e-03 + i 2.7374e-02
-4.0224e-02 + i -1.6242e-02
2.5552e-02 + i -2.6338e-02
3.0280e-02 + i -4.1055e-03
5.9976e-03 + i -8.3167e-03
2.2325e-02 + i 1.1888e-02
7.5380e-03 + i 1.4698e-02
5.0156e-02 + i 2.0370e-02
-5.7796e-02 + i 3.0119e-02
3.7707e-02 + i 3.8803e-02
-5.2475e-02 + i 1.0469e-02
1.6049e-02 + i -4.2040e-02
-3.8204e-02 + i 2.9169e-02
1.5761e-02 + i 1.7194e-02
1.9101e-02 + i -5.5101e-03
-2.2491e-02 + i -1.0427e-02
-1.5952e-02 + i 2.5766e-02
3.0740e-03 + i 3.0984e-02
-8.3848e-03 + i -7.6236e-03
-1.6238e-02 + i -1.5688e-02
-1.7481e-02 + i 6.4980e-03
-1.2934e-02 + i 2.2886e-02
2.7876e-02 + i -1.3502e-02
-3.6082e-02 + i -1.5853e-02
-1.1651e-02 + i 2.0039e-02
4.5900e-03 + i 7.1419e-03
8.0595e-04 + i -1.6971e-02
-2.2164e-02 + i -5.8493e-03
-9.0960e-03 + i 1.7804e-02
1.4928e-02 + i -5.3635e-09
-9.0961e-03 + i -1.7804e-02
-2.2164e-02 + i 5.8496e-03
8.0607e-04 + i 1.6971e-02
4.5900e-03 + i -7.1418e-03
-1.1651e-02 + i -2.0038e-02
-3.6082e-02 + i 1.5853e-02
2.7876e-02 + i 1.3502e-02
-1.2934e-02 + i -2.2886e-02
-1.7481e-02 + i -6.4978e-03
-1.6238e-02 + i 1.5689e-02
-8.3849e-03 + i 7.6240e-03
3.0736e-03 + i -3.0984e-02
-1.5952e-02 + i -2.5765e-02
-2.2491e-02 + i 1.0427e-02
1.9101e-02 + i 5.5100e-03
1.5761e-02 + i -1.7194e-02
-3.8204e-02 + i -2.9169e-02
1.6049e-02 + i 4.2040e-02
-5.2475e-02 + i -1.0468e-02
3.7706e-02 + i -3.8803e-02
-5.7796e-02 + i -3.0118e-02
5.0156e-02 + i -2.0370e-02
7.5378e-03 + i -1.4698e-02
2.2325e-02 + i -1.1889e-02
5.9976e-03 + i 8.3165e-03
3.0280e-02 + i 4.1050e-03
2.5553e-02 + i 2.6337e-02
-4.0224e-02 + i 1.6243e-02
8.4128e-03 + i -2.7374e-02
2.8840e-03 + i 3.9022e-03
3.4003e-02 + i 2.3093e-02
-4.1777e-02 + i 3.9898e-02
-1.9989e-02 + i -3.4363e-02
3.3363e-02 + i 1.9143e-02
-4.4576e-02 + i 2.9683e-02
-7.4486e-02 + i 1.3672e-04
-8.0317e-03 + i -8.8107e-02
1.2109e-01 + i -4.3325e-02
